Country,Subject Descriptor,Units,Scale,2020,2021,Estimates Start After
Singapore,"Gross domestic product, current prices",U.S. dollars,Billions,339.981,378.645,2020
Singapore,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,560.12,615.293,2020
Slovak Republic,"Gross domestic product, current prices",U.S. dollars,Billions,104.491,116.748,2019
Slovak Republic,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,179.381,194.081,2019
Slovenia,"Gross domestic product, current prices",U.S. dollars,Billions,53.547,60.89,2020
Slovenia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,82.53,90.909,2020
Solomon Islands,"Gross domestic product, current prices",U.S. dollars,Billions,1.562,1.649,2019
Solomon Islands,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,1.608,1.686,2019
Somalia,"Gross domestic product, current prices",U.S. dollars,Billions,4.99,5.424,2019
Somalia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,14.021,14.759,2019
South Africa,"Gross domestic product, current prices",U.S. dollars,Billions,335.344,415.315,2020
South Africa,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,792.333,861.929,2020
South Sudan,"Gross domestic product, current prices",U.S. dollars,Billions,4.44,3.263,2018
South Sudan,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,10.902,11.896,2018
Spain,"Gross domestic product, current prices",U.S. dollars,Billions,"1,280.46","1,439.96",2020
Spain,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"1,811.09","1,984.01",2020
Sri Lanka,"Gross domestic product, current prices",U.S. dollars,Billions,80.7,80.785,2019
Sri Lanka,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,289.846,311.244,2019
St. Kitts and Nevis,"Gross domestic product, current prices",U.S. dollars,Billions,0.981,0.976,2019
St. Kitts and Nevis,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,1.364,1.398,2019
St. Lucia,"Gross domestic product, current prices",U.S. dollars,Billions,1.617,1.715,2020
St. Lucia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,2.334,2.502,2020
St. Vincent and the Grenadines,"Gross domestic product, current prices",U.S. dollars,Billions,0.807,0.769,2019
St. Vincent and the Grenadines,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,1.41,1.372,2019
Sudan,"Gross domestic product, current prices",U.S. dollars,Billions,34.396,35.919,2019
Sudan,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,181.629,189.867,2019
Suriname,"Gross domestic product, current prices",U.S. dollars,Billions,2.884,2.817,2020
Suriname,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,9.817,10.24,2020
Sweden,"Gross domestic product, current prices",U.S. dollars,Billions,541.064,622.365,2020
Sweden,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,565.46,609.478,2020
Switzerland,"Gross domestic product, current prices",U.S. dollars,Billions,751.877,810.83,2020
Switzerland,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,630.356,677.269,2020
Taiwan Province of China,"Gross domestic product, current prices",U.S. dollars,Billions,668.156,785.589,2020
Taiwan Province of China,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"1,316.03","1,443.41",2020
Tajikistan,"Gross domestic product, current prices",U.S. dollars,Billions,7.997,8.104,2019
Tajikistan,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,34.822,37.881,2019
Tanzania,"Gross domestic product, current prices",U.S. dollars,Billions,64.403,69.238,2020
Tanzania,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,169.689,182.876,2020
Thailand,"Gross domestic product, current prices",U.S. dollars,Billions,501.712,546.223,2020
Thailand,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"1,272.54","1,331.05",2020
Timor-Leste,"Gross domestic product, current prices",U.S. dollars,Billions,1.777,1.697,2019
Timor-Leste,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,4.424,4.174,2019
Togo,"Gross domestic product, current prices",U.S. dollars,Billions,7.586,8.493,2016
Togo,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,18.406,19.98,2016
Tonga,"Gross domestic product, current prices",U.S. dollars,Billions,0.499,0.501,2020
Tonga,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,0.627,0.637,2020
Trinidad and Tobago,"Gross domestic product, current prices",U.S. dollars,Billions,21.587,21.599,2019
Trinidad and Tobago,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,35.018,35.911,2019
Tunisia,"Gross domestic product, current prices",U.S. dollars,Billions,39.219,42.733,2020
Tunisia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,120.718,128.841,2020
Turkey,"Gross domestic product, current prices",U.S. dollars,Billions,719.919,795.952,2020
Turkey,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"2,545.94","2,873.84",2020
Turkmenistan,"Gross domestic product, current prices",U.S. dollars,Billions,45.609,53.087,2020
Turkmenistan,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,85.066,92.126,2020
Tuvalu,"Gross domestic product, current prices",U.S. dollars,Billions,0.055,0.065,2019
Tuvalu,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,0.054,0.057,2019
Uganda,"Gross domestic product, current prices",U.S. dollars,Billions,38.141,43.243,2020
Uganda,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,106.825,115.883,2020
Ukraine,"Gross domestic product, current prices",U.S. dollars,Billions,155.3,181.038,2020
Ukraine,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,545.004,584.126,2020
United Arab Emirates,"Gross domestic product, current prices",U.S. dollars,Billions,358.869,410.158,2020
United Arab Emirates,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,660.342,699.444,2020
United Kingdom,"Gross domestic product, current prices",U.S. dollars,Billions,"2,709.68","3,108.42",2020
United Kingdom,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"2,961.89","3,276.14",2020
United States,"Gross domestic product, current prices",U.S. dollars,Billions,"20,893.75","22,939.58",2020
United States,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"20,893.75","22,939.58",2020
Uruguay,"Gross domestic product, current prices",U.S. dollars,Billions,56.577,60.108,2020
Uruguay,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,79.173,84.568,2020
Uzbekistan,"Gross domestic product, current prices",U.S. dollars,Billions,59.928,65.503,2020
Uzbekistan,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,264.768,291.16,2020
Vanuatu,"Gross domestic product, current prices",U.S. dollars,Billions,0.932,0.999,2018
Vanuatu,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,0.802,0.841,2018
Venezuela,"Gross domestic product, current prices",U.S. dollars,Billions,47.255,44.893,2018
Venezuela,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,144.698,142.416,2018
Vietnam,"Gross domestic product, current prices",U.S. dollars,Billions,343.114,368.002,2020
Vietnam,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"1,061.48","1,141.30",2020
West Bank and Gaza,"Gross domestic product, current prices",U.S. dollars,Billions,15.561,17.343,2020
West Bank and Gaza,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,27.328,29.57,2020
Yemen,"Gross domestic product, current prices",U.S. dollars,Billions,18.841,19.471,2020
Yemen,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,59.877,60.794,2020
Zambia,"Gross domestic product, current prices",U.S. dollars,Billions,19.319,21.699,2020
Zambia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,63.406,66.351,2020
Zimbabwe,"Gross domestic product, current prices",U.S. dollars,Billions,21.924,25.791,2019
Zimbabwe,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,34.244,37.299,2019
,,,,,,
,,,,,,
